_id,n_id,year,d_zone,district,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,market,tourist_attraction,academy,government,intersection,other,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,under_bridges,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,crime_sexual,breeding_patho,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,punishment,pave_mainten,legal_action,other_spec2,adddate,updatedate
51,50,2564,กรุงธนใต้,หนองแขม,13,13,0,0,0,0,0,5,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
52,49,2564,กรุงธนใต้,ราษฎร์บูรณะ,6,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
53,48,2564,กรุงธนใต้,ภาษีเจริญ,11,11,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
54,47,2564,กรุงธนใต้,บางบอน,17,12,3,2,0,0,0,2,1,1,0,0,2,0,0,2,0,0,3,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,4,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,4,5,5,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
55,46,2564,กรุงธนใต้,บางแค,11,11,0,0,0,0,0,0,4,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
56,45,2564,กรุงธนใต้,บางขุนเทียน,17,16,1,0,0,0,0,3,1,2,0,0,1,0,2,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,4,4,9,0,0,0,0,4,0,0,0,1,5,0,0,17,2,0,2,0,10,1,4,0,11,1,11,4,6,0,0,0,0,1,1,2021-03-25T00:00:00,2021-03-25T00:00:00
57,44,2564,กรุงธนใต้,ทุ่งครุ,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
58,43,2564,กรุงธนเหนือ,บางพลัด,8,7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
59,42,2564,กรุงธนเหนือ,บางกอกใหญ่,6,4,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
60,41,2564,กรุงธนเหนือ,บางกอกน้อย,10,8,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,10,4,6,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
61,40,2564,กรุงธนเหนือ,ธนบุรี,7,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,1,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,5,4,0,2,0,0,5,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
62,39,2564,กรุงธนเหนือ,ทวีวัฒนา,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,2,3,3,0,4,4,0,0,1,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
63,38,2564,กรุงธนเหนือ,ตลิ่งชัน,8,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
64,37,2564,กรุงธนเหนือ,จอมทอง,4,3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,4,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,3,3,1,0,2,1,0,2,0,4,4,0,2,1,0,1,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
65,36,2564,กรุงธนเหนือ,คลองสาน,22,21,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,5,0,2,0,0,0,22,3,0,5,0,8,0,0,1,0,0,10,5,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
66,35,2564,กรุงเทพตะวันออก,หนองจอก,20,17,3,0,0,0,0,1,0,0,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,20,0,1,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
67,34,2564,กรุงเทพตะวันออก,สะพานสูง,11,11,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,4,0,0,11,3,0,0,0,11,0,0,0,0,0,0,0,0,0,2021-03-25T00:00:00,2021-03-25T00:00:00
