year,d_zone,district,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,market,tourist_attraction,academy,government,intersection,other,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,under_bridges,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,crime_sexual,breeding_patho,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,punishment,pave_mainten,legal_action,other_spec2,rg65_value,total_score,predicted_rating,range,actual_rating
2565,กรุงธนใต้,หนองแขม,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0-40,1
2565,กรุงธนใต้,ราษฎร์บูรณะ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0-40,1
2565,กรุงธนใต้,ภาษีเจริญ,6,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,2,40-80,2
2565,กรุงธนใต้,บางบอน,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,38,1,0-40,1
2565,กรุงธนใต้,บางแค,9,9,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,52,2,40-80,2
2565,กรุงธนใต้,บางขุนเทียน,10,9,1,0,0,0,0,6,1,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,1,77,2,40-80,2
2565,กรุงธนใต้,ทุ่งครุ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0-40,1
2565,กรุงธนเหนือ,บางพลัด,8,7,1,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,2,40-80,2
2565,กรุงธนเหนือ,บางกอกใหญ่,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,1,0-40,1
2565,กรุงธนเหนือ,บางกอกน้อย,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,2,54,2,40-80,2
